"sex","agegr","edu","socprof","marital","depress","trust","trustfam","trustneigh","income"
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",3600
"MALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2000
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",9,"MOST PEOPLE CAN BE TRUSTED","YES","YES",910
"MALE","60-64","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",NA,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000
"MALE","45-59","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",550
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES",3700
"FEMALE","60-64","SECONDARY","RETIRED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300
"MALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",NA
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"MALE","65+","SECONDARY","RETIRED","MARRIED",12,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2300
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",826
"FEMALE","45-59","POST-SECONDARY OR HIGHER","SELF-EMPLOYED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"MALE","16-24","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",1800
"FEMALE","35-44","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","YES",1800
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",2,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",NA
"MALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",11,"IT`S DIFFICULT TO TELL","YES","YES",834
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",960
"FEMALE","65+","SECONDARY","RETIRED","DIVORCED",2,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1448
"FEMALE","35-44","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",4,"MOST PEOPLE CAN BE TRUSTED","YES","YES",400
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","16-24","SECONDARY","UNEMPLOYED","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO",NA
"MALE","60-64","VOCATIONAL/GRAMMAR","FARMER","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","NO","NO",500
"FEMALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",2000
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",2000
"MALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1400
"MALE","60-64","SECONDARY","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"FEMALE","35-44","VOCATIONAL/GRAMMAR","FARMER","MARRIED",5,"IT`S DIFFICULT TO TELL","YES","NO",600
"FEMALE","45-59","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","MARRIED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES",5700
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",6,"IT`S DIFFICULT TO TELL","NO","NO",4000
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",14,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",800
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",1100
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","35-44","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",-8
"MALE","45-59","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","NO","NO",2000
"MALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",7,"IT`S DIFFICULT TO TELL","YES","YES",2500
"MALE","45-59","PRIMARY/NO EDUCATION","UNEMPLOYED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",1036
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"FEMALE","16-24","SECONDARY","OTHER ECONOMICALLY INACTIVE","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8
"FEMALE","25-34","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",3000
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",2100
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",3,"MOST PEOPLE CAN BE TRUSTED","NO","NO",4500
"FEMALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",6,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2100
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","NO","NO",720
"FEMALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","60-64","PRIMARY/NO EDUCATION","RETIRED","MARRIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",600
"MALE","60-64","SECONDARY","RETIRED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","NO","NO",2572
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"MOST PEOPLE CAN BE TRUSTED","YES","YES",800
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8
"MALE","45-59","SECONDARY","SELF-EMPLOYED","MARRIED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES",3500
"FEMALE","16-24","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",980
"FEMALE","65+","SECONDARY","FARMER","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",550
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",10,"MOST PEOPLE CAN BE TRUSTED","NO OPINION","NO OPINION",800
"FEMALE","35-44","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","45-59","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","FARMER","DIVORCED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",2500
"FEMALE","65+","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR","WIDOWED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",500
"MALE","16-24","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",NA
"FEMALE","60-64","SECONDARY","UNEMPLOYED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",NA
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"MALE","16-24","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",-8
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2200
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","YES",2500
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"MALE","35-44","VOCATIONAL/GRAMMAR","FARMER","MARRIED",4,"IT`S DIFFICULT TO TELL","YES","YES",1600
"MALE","35-44","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","SINGLE",5,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",NA
"FEMALE","35-44","SECONDARY","SELF-EMPLOYED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"MALE","65+","POST-SECONDARY OR HIGHER","LONG-TERM SICK/DISABLED","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","NO",1700
"FEMALE","65+","SECONDARY","SELF-EMPLOYED","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",4000
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","16-24","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",600
"MALE","45-59","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1900
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","WIDOWED",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1900
"FEMALE","25-34","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2400
"MALE","16-24","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",128
"MALE","45-59","SECONDARY","UNEMPLOYED","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",NA
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",11,"IT`S DIFFICULT TO TELL","YES","YES",-8
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2000
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1118
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",NA,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"MALE","45-59","SECONDARY","FARMER","MARRIED",4,"IT`S DIFFICULT TO TELL","YES","YES",1300
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","NO","NO",2500
"MALE","25-34","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"FEMALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",19,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",980
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",1057
"MALE","65+","SECONDARY","LONG-TERM SICK/DISABLED","DIVORCED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO",1560
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1500
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",1800
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",1400
"FEMALE","35-44","SECONDARY","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8
"MALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",-8
"MALE","25-34","SECONDARY","FARMER","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",1000
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"FEMALE","45-59","SECONDARY","FARMER","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",1500
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",2000
"MALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1700
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","NO","NO",1750
"MALE","35-44","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",1,"IT`S DIFFICULT TO TELL","YES","YES",NA
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1100
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","DIVORCED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"FEMALE","35-44","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1200
"MALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","DIVORCED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","65+","SECONDARY","LONG-TERM SICK/DISABLED","WIDOWED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO",1000
"FEMALE","35-44","SECONDARY","UNEMPLOYED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",-8
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"MALE","60-64","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1400
"FEMALE","45-59","SECONDARY","RETIRED","MARRIED",13,"ONE CAN`T BE TOO CAREFUL","YES","YES",1150
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","WIDOWED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO",1600
"FEMALE","35-44","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",5000
"MALE","45-59","SECONDARY","UNEMPLOYED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","NO OPINION","NO OPINION",1990
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8
"FEMALE","45-59","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"MALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",780
"MALE","60-64","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","WIDOWED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",930
"MALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",4500
"FEMALE","25-34","SECONDARY","OTHER ECONOMICALLY INACTIVE","DIVORCED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1637
"MALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",-8
"FEMALE","45-59","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","WIDOWED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1030
"MALE","35-44","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","35-44","PRIMARY/NO EDUCATION","RETIRED","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","SINGLE",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",600
"FEMALE","65+","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","WIDOWED",6,"IT`S DIFFICULT TO TELL","YES","YES",4200
"FEMALE","25-34","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8
"FEMALE","60-64","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","NO","NO",708
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL",NA,"NO",4500
"FEMALE","45-59","SECONDARY","FARMER","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",980
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",720
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","45-59","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",400
"FEMALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",-8
"MALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",1350
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",6,"ONE CAN`T BE TOO CAREFUL","YES","NO",1200
"FEMALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","16-24","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",1234
"FEMALE","65+","SECONDARY","RETIRED","WIDOWED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1723
"MALE","65+","POST-SECONDARY OR HIGHER","RETIRED","WIDOWED",16,"ONE CAN`T BE TOO CAREFUL","YES","NO",1900
"FEMALE","60-64","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",2200
"MALE","25-34","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","60-64","SECONDARY","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",3900
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",9,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1500
"FEMALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2000
"FEMALE","16-24","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","NO","NO OPINION",-8
"FEMALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",3500
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",5000
"FEMALE","25-34","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",2800
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","65+","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","35-44","VOCATIONAL/GRAMMAR","UNEMPLOYED","WIDOWED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",1700
"FEMALE","25-34","SECONDARY","SELF-EMPLOYED","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",1000
"MALE","16-24","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","35-44","SECONDARY","SELF-EMPLOYED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200
"MALE","65+","POST-SECONDARY OR HIGHER","RETIRED","SINGLE",8,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1200
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"FEMALE","25-34","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",150
"FEMALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1900
"MALE","60-64","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","NO","NO",1600
